R_0_1,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
1.55,4.7,0.216422043,0.521137782,0.393494624,0.140848049
1.55,4.85,0.216422043,0.523784167,0.393494624,0.136047836
1.55,5,0.216422043,0.526248718,0.393494624,0.131562179
1.55,5.15,0.216422043,0.528550277,0.393494624,0.127361513
1.55,5.3,0.216422043,0.530705198,0.393494624,0.123419813
1.55,5.45,0.216422043,0.53272773,0.393494624,0.119714097
1.55,5.6,0.216422043,0.534630346,0.393494624,0.116223988
1.55,5.75,0.216422043,0.536423997,0.393494624,0.112931368
1.55,5.9,0.216422043,0.538118342,0.393494624,0.10982007
1.55,6.05,0.216422043,0.539721925,0.393494624,0.106875629
1.55,6.2,0.216422043,0.541242332,0.393494624,0.104085064
1.55,6.35,0.216422043,0.542686318,0.393494624,0.101436695
1.55,6.5,0.216422043,0.544059917,0.393494624,0.098919985
1.55,6.65,0.216422043,0.545368535,0.393494624,0.096525404
1.55,6.8,0.216422043,0.546617031,0.393494624,0.094244316
1.55,6.95,0.216422043,0.54780978,0.393494624,0.092068871
1.55,7.1,0.216422043,0.548950735,0.393494624,0.089991924
1.55,7.25,0.216422043,0.550043474,0.393494624,0.088006956
1.55,7.4,0.216422043,0.551091247,0.393494624,0.086108007
1.55,7.55,0.216422043,0.552097008,0.393494624,0.08428962
1.55,7.7,0.216422043,0.553063451,0.393494624,0.082546784
1.55,7.85,0.216422043,0.553993037,0.393494624,0.080874896
1.55,8,0.216422043,0.55488802,0.393494624,0.079269717
1.7,0.5,0.232098039,8.92E-15,0.331568627,0.828890594
1.7,0.65,0.232098039,-2.68E-13,0.331568627,0.828890594
1.7,0.8,0.232098039,2.86E-12,0.331568627,0.828890594
1.7,0.95,0.232098039,1.58E-06,0.331568627,0.828888752
1.7,1.1,0.232098039,0.074151635,0.331568627,0.741516346
1.7,1.25,0.232098039,0.159438726,0.331568627,0.637754906
1.7,1.4,0.232098039,0.222938375,0.331568627,0.557345938
1.7,1.55,0.232098039,0.271397381,0.331568627,0.493449783
1.7,1.7,0.232098039,0.309143625,0.331568627,0.44163375
1.7,1.85,0.232098039,0.339065012,0.331568627,0.398900015
1.7,2,0.232098039,0.363150129,0.331568627,0.363150129
