p,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
0.081,3.95,5.28E-12,1.10E-11,2.40E-17,-2.33E-15
0.081,4.1,6.62E-12,1.19E-11,8.66E-18,-1.18E-13
0.081,4.25,-5.47E-15,-1.17E-14,-2.27E-25,1.95E-19
0.081,4.4,-3.03E-11,-4.46E-10,1.30E-16,4.35E-16
0.081,4.55,-4.17E-10,-3.95E-10,9.85E-17,1.16E-12
0.081,4.7,1.15E-13,1.88E-13,-8.31E-21,-6.02E-20
0.081,4.85,-4.72E-17,1.85E-12,-1.43E-25,-2.43E-13
0.081,5,-2.54E-15,9.81E-16,7.66E-20,3.22E-19
0.081,5.15,4.30E-12,8.92E-12,-8.17E-18,-1.82E-13
0.081,5.3,2.37E-14,1.82E-13,1.43E-18,4.36E-18
0.081,5.45,-1.06E-10,-1.94E-10,-1.12E-16,-2.85E-16
0.081,5.6,5.81E-13,2.03E-12,-1.02E-18,1.98E-15
0.081,5.75,2.75E-15,1.20E-14,2.09E-26,-5.58E-22
0.081,5.9,1.44E-13,3.46E-13,-2.87E-18,-6.49E-18
0.081,6.05,-4.20E-15,-2.37E-14,1.31E-23,3.53E-16
0.081,6.2,1.47E-15,-1.17E-13,-5.96E-22,1.59E-14
0.081,6.35,8.51E-14,1.18E-13,-5.85E-20,-6.80E-20
0.081,6.5,-1.20E-14,-1.65E-14,-2.05E-26,-4.30E-16
0.081,6.65,-9.10E-16,-1.14E-14,1.41E-25,1.89E-16
0.081,6.8,-5.57E-15,-1.17E-14,7.65E-28,1.04E-24
0.081,6.95,-1.28E-14,-2.95E-14,2.30E-26,3.70E-16
0.081,7.1,8.04E-15,1.19E-14,2.65E-19,2.04E-16
0.081,7.25,3.84E-15,-1.20E-15,1.38E-24,6.71E-16
0.081,7.4,-3.89E-15,-1.86E-14,9.94E-25,1.89E-15
0.081,7.55,8.59E-13,1.28E-12,-2.30E-21,-7.95E-16
